"Marvinbryantia formatexigens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Marvinbryantia","Marvinbryantia formatexigens","strain"
"Mediterraneibacter glycyrrhizinilyticus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter glycyrrhizinilyticus","strain"
"Megamonas funiformis YIT 11815","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis","Megamonas funiformis YIT 11815"
"Megamonas hypermegale","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas hypermegale","strain"
"Megasphaera hexanoica","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera hexanoica","strain"
"Megasphaera massiliensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera massiliensis","strain"
"Megasphaera paucivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera paucivorans","strain"
"Megasphaera sueciensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera sueciensis","strain"
"Melissococcus plutonius ATCC 35311","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius","Melissococcus plutonius ATCC 35311"
"Merdimonas faecis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Merdimonas","Merdimonas faecis","strain"
"Metakosakonia massiliensis JC163","superkingdom","clade","phylum","class","order","family","genus","species","strain"
"Metasolibacillus fluoroglycofenilyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Planococcaceae","Metasolibacillus","Metasolibacillus fluoroglycofenilyticus","strain"
"Methylomusa anaerophila","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Methylomusa","Methylomusa anaerophila","strain"
"Microaerobacter geothermalis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Microaerobacter","Microaerobacter geothermalis","strain"
"Microbacter margulisiae","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Microbacter","Microbacter margulisiae","strain"
"Microvirga flavescens","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga","Microvirga flavescens","strain"
"Millionella massiliensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Millionella","Millionella massiliensis","strain"
"Mitsuokella jalaludinii","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella jalaludinii","strain"
"Mitsuokella multacida","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella multacida","strain"
"Mixta gaviniae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Mixta","Mixta gaviniae","strain"
"Mixta intestinalis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Mixta","Mixta intestinalis","strain"
"Mixta theicola","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Mixta","Mixta theicola","strain"
"Mobilisporobacter senegalensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mobilisporobacter","Mobilisporobacter senegalensis","strain"
"Mobilitalea sibirica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mobilitalea","Mobilitalea sibirica","strain"
"Moellerella wisconsensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Moellerella","Moellerella wisconsensis","strain"
"Mogibacterium neglectum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium neglectum","strain"
"Mogibacterium pumilum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium pumilum","strain"
"Mogibacterium timidum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium timidum","strain"
"Mogibacterium vescum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium vescum","strain"
"Monoglobus pectinilyticus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","Monoglobus pectinilyticus","strain"
"Moorella thermoacetica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Moorella","Moorella thermoacetica","strain"
"Mordavella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Mordavella","Mordavella massiliensis","strain"
"Morganella morganii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii","strain"
"Morganella morganii subsp. morganii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii","strain"
"Morganella morganii subsp. sibonii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii","strain"
"Morganella psychrotolerans","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella psychrotolerans","strain"
"Moryella indoligenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Moryella","Moryella indoligenes","strain"
"Mucilaginibacter jinjuensis","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter jinjuensis","strain"
"Mucinivorans hirudinis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Mucinivorans","Mucinivorans hirudinis","strain"
"Mucispirillum schaedleri","Bacteria","clade","Deferribacterota","Deferribacteres","Deferribacterales","Mucispirillaceae","Mucispirillum","Mucispirillum schaedleri","strain"
"Muricomes intestini","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Muricomes","Muricomes intestini","strain"
"Murimonas intestini","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Murimonas","Murimonas intestini","strain"
"Musicola keenii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Musicola","Musicola keenii","strain"
"Mycoplasma alvi","Bacteria","Terrabacteria group","Mycoplasmatota","class","Mycoplasmoidales","Metamycoplasmataceae","Mycoplasmoides","Mycoplasmoides alvi","strain"
"Mycoplasma pirum","Bacteria","Terrabacteria group","Mycoplasmatota","class","Mycoplasmoidales","Metamycoplasmataceae","Mycoplasmoides","Mycoplasmoides pirum","strain"
"Natranaerobaculum magadiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Natranaerobiales","Natranaerobiaceae","Natranaerobaculum","Natranaerobaculum magadiense","strain"
"Natranaerovirga hydrolytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Natranaerovirga","Natranaerovirga hydrolytica","strain"
"Natranaerovirga pectinivora","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Natranaerovirga","Natranaerovirga pectinivora","strain"
"Natronoflexus pectinivorans","Bacteria","FCB group","Bacteroidota","Bacteroidia","Marinilabiliales","Marinilabiliaceae","Natronoflexus","Natronoflexus pectinivorans","strain"
"Negativibacillus massiliensis","Bacteria","Terrabacteria group","Bacillota","class","order","family","Negativibacillus","Negativibacillus massiliensis","strain"
"Neglecta timonensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglectibacter","Neglectibacter timonensis","strain"
"Niallia circulans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia","Niallia circulans","strain"
"Nissabacter archeti","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Nissabacter","Nissabacter archeti","strain"
"Nonlabens tegetincola","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","Nonlabens tegetincola","strain"
"Novisyntrophococcus fermenticellae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Novisyntrophococcus","Novisyntrophococcus fermenticellae","strain"
"Obesumbacterium proteus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Obesumbacterium","Obesumbacterium proteus","strain"
"Oceanisphaera profunda","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanisphaera","Oceanisphaera profunda","strain"
"Oceanobacillus sojae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Oceanobacillus","Oceanobacillus sojae","strain"
"Odoribacter splanchnicus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","strain"
"Oribacterium asaccharolyticum ACB7","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium asaccharolyticum","Oribacterium asaccharolyticum ACB7"
"Oribacterium parvum ACB1","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium parvum","Oribacterium parvum ACB1"
"Oribacterium sinus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium sinus","strain"
"Oscillibacter ruminantium GH1","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter ruminantium","Oscillibacter ruminantium GH1"
"Oscillibacter valericigenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter valericigenes","strain"
"Oxalobacter formigenes","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter formigenes","strain"
"Oxobacter pfennigii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Oxobacter","Oxobacter pfennigii","strain"
"Paenibacillus agaridevorans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus agaridevorans","strain"
"Paenibacillus albidus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus albidus","strain"
"Paenibacillus alkaliterrae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus alkaliterrae","strain"
"Paenibacillus antarcticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus antarcticus","strain"
"Paenibacillus azotifigens","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus azotifigens","strain"
"Paenibacillus borealis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus borealis","strain"
"Paenibacillus bovis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus bovis","strain"
"Paenibacillus castaneae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus castaneae","strain"
"Paenibacillus cellulositrophicus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus cellulositrophicus","strain"
"Paenibacillus chibensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus chibensis","strain"
"Paenibacillus chungangensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus chungangensis","strain"
"Paenibacillus cookii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus cookii","strain"
"Paenibacillus faecis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus faecis","strain"
"Paenibacillus favisporus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus favisporus","strain"
"Paenibacillus filicis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus filicis","strain"
"Paenibacillus forsythiae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus forsythiae","strain"
"Paenibacillus gansuensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus gansuensis","strain"
"Paenibacillus glucanolyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus glucanolyticus","strain"
"Paenibacillus granivorans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus granivorans","strain"
"Paenibacillus harenae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus harenae","strain"
"Paenibacillus helianthi","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus helianthi","strain"
"Paenibacillus kribbensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus kribbensis","strain"
"Paenibacillus larvae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus larvae","strain"
"Paenibacillus lentimorbus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus lentimorbus","strain"
"Paenibacillus macerans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus macerans","strain"
"Paenibacillus marchantiophytorum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus marchantiophytorum","strain"
"Paenibacillus massiliensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus massiliensis","strain"
"Paenibacillus massiliensis subsp. panacisoli","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus massiliensis","strain"
"Paenibacillus medicaginis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus medicaginis","strain"
"Paenibacillus mobilis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus mobilis","strain"
"Paenibacillus nanensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus nanensis","strain"
"Paenibacillus odorifer","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus odorifer","strain"
"Paenibacillus oralis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus oralis","strain"
"Paenibacillus pabuli","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus pabuli","strain"
"Paenibacillus peoriae KCTC 3763","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus peoriae","Paenibacillus peoriae KCTC 3763"
"Paenibacillus polymyxa","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus polymyxa","strain"
"Paenibacillus popilliae ATCC 14706","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus popilliae","Paenibacillus popilliae ATCC 14706"
"Paenibacillus profundus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus profundus","strain"
"Paenibacillus provencensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus provencensis","strain"
"Paenibacillus quercus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus quercus","strain"
"Paenibacillus sabinae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sabinae","strain"
"Paenibacillus senegalensis JC66","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus senegalensis","Paenibacillus senegalensis JC66"
"Paenibacillus shunpengii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus shunpengii","strain"
"Paenibacillus silagei","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus silagei","strain"
"Paenibacillus taiwanensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus taiwanensis","strain"
"Paenibacillus taohuashanense","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus taohuashanense","strain"
"Paenibacillus terreus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus terreus","strain"
"Paenibacillus thailandensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus thailandensis","strain"
"Paenibacillus thiaminolyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus thiaminolyticus","strain"
"Paenibacillus tianmuensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus tianmuensis","strain"
"Paenibacillus tundrae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus tundrae","strain"
"Paenibacillus tylopili","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus tylopili","strain"
"Paenibacillus tyrfis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus tyrfis","strain"
"Paenibacillus uliginis N3/975","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus uliginis","Paenibacillus uliginis N3/975"
"Paenibacillus urinalis 5402403","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus urinalis","Paenibacillus urinalis 5402403"
"Paenibacillus validus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus validus","strain"
"Paenibacillus woosongensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus woosongensis","strain"
"Paenibacillus wulumuqiensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus wulumuqiensis","strain"
"Paenibacillus xylanexedens","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus xylanexedens","strain"
"Paenibacillus xylanilyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus xylanilyticus","strain"
"Paenibacillus yonginensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus yonginensis","strain"
"Paenibacillus zanthoxyli","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus zanthoxyli","strain"
"Paeniclostridium ghonii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium","Paeniclostridium ghonii","strain"
"Paeniclostridium sordellii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium","Paeniclostridium sordellii","strain"
"Paludibacter propionicigenes WB4","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","Paludibacter propionicigenes","Paludibacter propionicigenes WB4"
"Paludicola psychrotolerans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Paludicola","Paludicola psychrotolerans","strain"
"Paludisphaera borealis","Bacteria","PVC group","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Paludisphaera","Paludisphaera borealis","strain"
"Pantoea agglomerans","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea agglomerans","strain"
"Pantoea allii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea allii","strain"
"Pantoea ananatis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea ananatis","strain"
"Pantoea anthophila","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea anthophila","strain"
"Pantoea cypripedii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea cypripedii","strain"
"Pantoea dispersa","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea dispersa","strain"
"Pantoea stewartii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea stewartii","strain"
"Pantoea stewartii subsp. indologenes","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea stewartii","strain"
"Papillibacter cinnamivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Papillibacter","Papillibacter cinnamivorans","strain"
"Parabacteroides chongii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides chongii","strain"
"Parabacteroides distasonis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","strain"
"Parabacteroides distasonis ATCC 8503","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides distasonis ATCC 8503"
"Parabacteroides faecis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides faecis","strain"
"Parabacteroides goldsteinii DSM 19448 = WAL 12034","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii","Parabacteroides goldsteinii DSM 19448 = WAL 12034"
"Parabacteroides gordonii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides gordonii","strain"
"Parabacteroides johnsonii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides johnsonii","strain"
"Parabacteroides merdae","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","strain"
"Paraclostridium benzoelyticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Paraclostridium","Paraclostridium benzoelyticum","strain"
"Paraclostridium bifermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Paraclostridium","Paraclostridium bifermentans","strain"
"Paraliobacillus quinghaiensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Paraliobacillus","Paraliobacillus quinghaiensis","strain"
"Parasporobacterium paucivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Parasporobacterium","Parasporobacterium paucivorans","strain"
"Paucilactobacillus wasatchensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","Paucilactobacillus wasatchensis","strain"
"Pectinatus brassicae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","Pectinatus brassicae","strain"
"Pectinatus cerevisiiphilus","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","Pectinatus cerevisiiphilus","strain"
"Pectinatus frisingensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","Pectinatus frisingensis","strain"
"Pectinatus haikarae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","Pectinatus haikarae","strain"
"Pectinatus sottacetonis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","Pectinatus sottacetonis","strain"
"Pectobacterium aroidearum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium aroidearum","strain"
"Pectobacterium atrosepticum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium atrosepticum","strain"
"Pectobacterium betavasculorum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium betavasculorum","strain"
"Pectobacterium brasiliense","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium brasiliense","strain"
"Pectobacterium cacticida","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium cacticida","strain"
"Pectobacterium carotovorum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium carotovorum","strain"
"Pectobacterium odoriferum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium odoriferum","strain"
