"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"Lactococcus garvieae","Lactococcus garvieae",490,0,148,62,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Lactococcus lactis","Lactococcus lactis",0,0,1,0,0,27,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"Lactococcus lactis subsp. hordniae","Lactococcus lactis subsp. hordniae",1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,1
"Lactococcus taiwanensis","Lactococcus taiwanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lactonifactor longoviformis","Lactonifactor longoviformis",0,41,1,20,11,3,9,4,3,0,51,110,62,306,9,0,20,71,3,43,34,6,397,2,55
"Lactovum miscens","Lactovum miscens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampropedia hyalina","Lampropedia hyalina",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancefieldella parvulum DSM 20469","Lancefieldella parvulum DSM 20469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lapidilactobacillus concavus","Lapidilactobacillus concavus",0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lapidilactobacillus dextrinicus","Lapidilactobacillus dextrinicus",0,1,13,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Latilactobacillus curvatus","Latilactobacillus curvatus",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latilactobacillus fuchuensis","Latilactobacillus fuchuensis",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Latilactobacillus graminis","Latilactobacillus graminis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latilactobacillus sakei subsp. sakei","Latilactobacillus sakei subsp. sakei",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lautropia mirabilis","Lautropia mirabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Lawsonia intracellularis","Lawsonia intracellularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,105,1,1
"Lawsonibacter asaccharolyticus","Lawsonibacter asaccharolyticus",0,92,33,28,6,0,21,2,10,0,479,5,210,201,39,1,51,43,2,18,1596,64,584,0,126
"Leclercia adecarboxylata","Leclercia adecarboxylata",4,0,10,0,1,0,0,1,7,0,0,69,1,0,3,0,9,3,1,0,4,3,0,0,1
"Leeuwenhoekiella aequorea","Leeuwenhoekiella aequorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Leeuwenhoekiella blandensis MED217","Leeuwenhoekiella blandensis MED217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Legionella santicrucis","Legionella santicrucis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lelliottia amnigena","Lelliottia amnigena",1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lelliottia nimipressuralis","Lelliottia nimipressuralis",1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
"Leminorella grimontii","Leminorella grimontii",2,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,0,0,0,0,0
"Lentibacillus juripiscarius","Lentibacillus juripiscarius",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lentibacillus populi","Lentibacillus populi",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Lentibacillus sediminis","Lentibacillus sediminis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus curieae","Lentilactobacillus curieae",0,2,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Lentilactobacillus farraginis","Lentilactobacillus farraginis",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus hilgardii","Lentilactobacillus hilgardii",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus kefiri","Lentilactobacillus kefiri",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus kisonensis","Lentilactobacillus kisonensis",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus otakiensis","Lentilactobacillus otakiensis",0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lentilactobacillus parabuchneri","Lentilactobacillus parabuchneri",0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lentilactobacillus parafarraginis","Lentilactobacillus parafarraginis",0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus parakefiri","Lentilactobacillus parakefiri",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentilactobacillus rapi","Lentilactobacillus rapi",0,4,7,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Lentilactobacillus senioris DSM 24302 = JCM 17472","Lentilactobacillus senioris DSM 24302 = JCM 17472",0,14,240,1395,0,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
"Lentilactobacillus sunkii","Lentilactobacillus sunkii",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptochromothrix valpauliae","Leptochromothrix valpauliae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Leptothrix discophora","Leptothrix discophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leptothrix mobilis","Leptothrix mobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Leucobacter iarius","Leucobacter iarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Leuconostoc mesenteroides","Leuconostoc mesenteroides",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc mesenteroides subsp. jonggajibkimchii","Leuconostoc mesenteroides subsp. jonggajibkimchii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Leuconostoc pseudomesenteroides","Leuconostoc pseudomesenteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc rapi","Leuconostoc rapi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Levilactobacillus acidifarinae","Levilactobacillus acidifarinae",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levilactobacillus brevis","Levilactobacillus brevis",0,0,280,5,5,0,28,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10
"Levilactobacillus brevis ATCC 14869 = DSM 20054","Levilactobacillus brevis ATCC 14869 = DSM 20054",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Levilactobacillus hammesii","Levilactobacillus hammesii",0,1,17,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
"Levilactobacillus namurensis","Levilactobacillus namurensis",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levilactobacillus parabrevis","Levilactobacillus parabrevis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levilactobacillus paucivorans","Levilactobacillus paucivorans",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Levilactobacillus senmaizukei DSM 21775 = NBRC 103853","Levilactobacillus senmaizukei DSM 21775 = NBRC 103853",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levilactobacillus spicheri","Levilactobacillus spicheri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levilactobacillus zymae","Levilactobacillus zymae",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberibacter crescens","Liberibacter crescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
"Lichenibacterium minor","Lichenibacterium minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Lichenihabitans psoromatis","Lichenihabitans psoromatis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ligilactobacillus agilis","Ligilactobacillus agilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ligilactobacillus animalis","Ligilactobacillus animalis",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus apodemi","Ligilactobacillus apodemi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ligilactobacillus araffinosus","Ligilactobacillus araffinosus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus faecis","Ligilactobacillus faecis",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ligilactobacillus hayakitensis","Ligilactobacillus hayakitensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ligilactobacillus murinus","Ligilactobacillus murinus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus saerimneri","Ligilactobacillus saerimneri",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lihuaxuella thermophila","Lihuaxuella thermophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
"Limisphaera ngatamarikiensis","Limisphaera ngatamarikiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Limosilactobacillus gastricus","Limosilactobacillus gastricus",0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus pontis","Limosilactobacillus pontis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus reuteri subsp. reuteri","Limosilactobacillus reuteri subsp. reuteri",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Liquorilactobacillus aquaticus","Liquorilactobacillus aquaticus",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Liquorilactobacillus capillatus","Liquorilactobacillus capillatus",1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Liquorilactobacillus mali KCTC 3596 = DSM 20444","Liquorilactobacillus mali KCTC 3596 = DSM 20444",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liquorilactobacillus nagelii","Liquorilactobacillus nagelii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liquorilactobacillus oeni","Liquorilactobacillus oeni",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liquorilactobacillus satsumensis","Liquorilactobacillus satsumensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liquorilactobacillus uvarum DSM 19971","Liquorilactobacillus uvarum DSM 19971",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lishizhenia caseinilytica","Lishizhenia caseinilytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Listeria aquatica","Listeria aquatica",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria floridensis","Listeria floridensis",0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1
"Listeria grayi","Listeria grayi",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria ivanovii","Listeria ivanovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Listeria rocourtiae","Listeria rocourtiae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria seeligeri","Listeria seeligeri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Listeria weihenstephanensis","Listeria weihenstephanensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria welshimeri","Listeria welshimeri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Litoribacterium kuwaitense","Litoribacterium kuwaitense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Litorihabitans aurantiacus","Litorihabitans aurantiacus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Litorilinea aerophila","Litorilinea aerophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Loigolactobacillus bifermentans","Loigolactobacillus bifermentans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longibaculum muris","Longibaculum muris",0,31,28,36,47,12,8,86,101,0,129,0,543,90,21,0,0,0,0,0,34,50,2,1,43
"Longicatena caecimuris","Longicatena caecimuris",13,184,2,9,84,13,7,1,4,0,102,74,297,38,8,2,23,387,0,7,7,20,27,19,79
"Longirhabdus pacifica","Longirhabdus pacifica",0,2,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,1
"Lonsdalea britannica","Lonsdalea britannica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lonsdalea quercina","Lonsdalea quercina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Loriellopsis cavernicola","Loriellopsis cavernicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Lottiidibacillus patelloidae","Lottiidibacillus patelloidae",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lutaonella thermophila","Lutaonella thermophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Luteibacter rhizovicinus","Luteibacter rhizovicinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Luteimonas panaciterrae","Luteimonas panaciterrae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Luteirhabdus pelagi","Luteirhabdus pelagi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0
"Luteolibacter gellanilyticus","Luteolibacter gellanilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Luteolibacter pohnpeiensis","Luteolibacter pohnpeiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lutispora thermophila DSM 19022","Lutispora thermophila DSM 19022",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,85,2,5
"Lyngbya aestuarii PCC 7419","Lyngbya aestuarii PCC 7419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Lysinibacillus endophyticus","Lysinibacillus endophyticus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysinibacillus halotolerans","Lysinibacillus halotolerans",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lysinibacillus louembei","Lysinibacillus louembei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Lysinibacillus meyeri","Lysinibacillus meyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,1,0,0,0,0,0,2
"Lysinibacillus odysseyi 34hs-1 = NBRC 100172","Lysinibacillus odysseyi 34hs-1 = NBRC 100172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Macellibacteroides fermentans","Macellibacteroides fermentans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0,4
"Macrococcus brunensis","Macrococcus brunensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Macrococcus canis","Macrococcus canis",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Macrococcus carouselicus","Macrococcus carouselicus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrococcus caseolyticus","Macrococcus caseolyticus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrococcus equipercicus","Macrococcus equipercicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Macrococcus goetzii","Macrococcus goetzii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mageeibacillus indolicus","Mageeibacillus indolicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0
"Magnetospirillum bellicum","Magnetospirillum bellicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mahella australiensis 50-1 BON","Mahella australiensis 50-1 BON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Mailhella massiliensis","Mailhella massiliensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,7
"Maioricimonas rarisocia","Maioricimonas rarisocia",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Mammaliicoccus sciuri","Mammaliicoccus sciuri",0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Mangrovibacter plantisponsor","Mangrovibacter plantisponsor",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Mangrovibacter yixingensis","Mangrovibacter yixingensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Mangrovibacterium marinum","Mangrovibacterium marinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mangroviflexus xiamenensis","Mangroviflexus xiamenensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Margalitia shackletonii","Margalitia shackletonii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maribellus luteus","Maribellus luteus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"Marinicrinis lubricantis","Marinicrinis lubricantis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marinifilum flexuosum","Marinifilum flexuosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Marinilabilia nitratireducens","Marinilabilia nitratireducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Marinilabilia rubra","Marinilabilia rubra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,3
"Marinilabilia salmonicolor JCM 21150","Marinilabilia salmonicolor JCM 21150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"Mariniluteicoccus flavus","Mariniluteicoccus flavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Marininema mesophilum","Marininema mesophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mariniphaga anaerophila","Mariniphaga anaerophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2
"Mariniphaga sediminis","Mariniphaga sediminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Marinisporobacter balticus","Marinisporobacter balticus",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,5,4,0
"Marinithermofilum abyssi","Marinithermofilum abyssi",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Marvinbryantia formatexigens","Marvinbryantia formatexigens",0,0,0,0,0,0,0,0,2,0,2,2,19,184,0,0,0,2,2,1,3,0,9,0,18
"Massilia agri","Massilia agri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Massilia aurea","Massilia aurea",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massilia brevitalea","Massilia brevitalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Massilia chloroacetimidivorans","Massilia chloroacetimidivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Massilia dura","Massilia dura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Massilia glaciei","Massilia glaciei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Massilia lurida","Massilia lurida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Massilia putida","Massilia putida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Massilibacterium senegalense","Massilibacterium senegalense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Massilimicrobiota timonensis","Massilimicrobiota timonensis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mechercharimyces asporophorigenens","Mechercharimyces asporophorigenens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mechercharimyces mesophilus","Mechercharimyces mesophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mediterranea massiliensis","Mediterranea massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mediterraneibacter glycyrrhizinilyticus","Mediterraneibacter glycyrrhizinilyticus",1,43,10,68,67,0,71,52,86,0,120,25,322,100,28,6,33,458,3,677,403,130,126,946,92
"Megamonas funiformis YIT 11815","Megamonas funiformis YIT 11815",0,0,2,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,2,0,0,6,0,3
"Megamonas hypermegale","Megamonas hypermegale",1,6,10,1,2,0,4,0,0,0,2,16,15,11,0,0,0,9,3,5,0,0,66,0,13
"Megamonas rupellensis","Megamonas rupellensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera cerevisiae DSM 20462","Megasphaera cerevisiae DSM 20462",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera hexanoica","Megasphaera hexanoica",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Megasphaera indica","Megasphaera indica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera massiliensis","Megasphaera massiliensis",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"Megasphaera micronuciformis","Megasphaera micronuciformis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera paucivorans","Megasphaera paucivorans",0,2,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,2,0,0,29,0,1
"Megasphaera sueciensis","Megasphaera sueciensis",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17,0,1
"Melghiribacillus thermohalophilus","Melghiribacillus thermohalophilus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melissococcus plutonius ATCC 35311","Melissococcus plutonius ATCC 35311",1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
"Merdimonas faecis","Merdimonas faecis",0,11,2,0,2,0,0,0,4,0,3,1,3,2,0,0,0,7,0,15,2,0,69,3,11
"Mesobacillus foraminis","Mesobacillus foraminis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Mesonia algae","Mesonia algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"Mesonia maritima","Mesonia maritima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mesonia mobilis DSM 19841","Mesonia mobilis DSM 19841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mesoplasma chauliocola","Mesoplasma chauliocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mesoplasma coleopterae","Mesoplasma coleopterae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
